"continent","location","date","population","new_vaccinations","total_vaccinaton","?column?"
"Europe","Albania","2021-08-03",2842318,8879,850218,29.912838746403462
"Europe","Albania","2021-08-02",2842318,9674,841339,29.60045286980556
"Europe","Albania","2021-08-01",2842318,4154,831665,29.26009686460136
"Europe","Albania","2021-07-31",2842318,8086,827511,29.113948544814477
"Europe","Albania","2021-07-30",2842318,11078,819425,28.82946243171946
"Europe","Albania","2021-07-22",2842318,14332,808347,28.43971012391998
"Europe","Albania","2021-07-21",2842318,13029,794015,27.935473792869058
"Europe","Albania","2021-07-18",2842318,2230,780986,27.4770803266911
"Europe","Albania","2021-07-17",2842318,7093,778756,27.398623236386637
"Europe","Albania","2021-07-16",2842318,7934,771663,27.14907339713572
"Europe","Albania","2021-07-15",2842318,8609,763729,26.86993503190002
"Europe","Albania","2021-07-14",2842318,7832,755120,26.56704844426275
"Europe","Albania","2021-07-13",2842318,6433,747288,26.291498699301062
"Europe","Albania","2021-07-12",2842318,6432,740855,26.065169344176127
"Europe","Albania","2021-07-11",2842318,1394,734423,25.838875171602897
"Europe","Albania","2021-07-10",2842318,4854,733029,25.789830694524678
"Europe","Albania","2021-07-09",2842318,5257,728175,25.619054588543577
"Europe","Albania","2021-07-08",2842318,5634,722918,25.434099914224937
"Europe","Albania","2021-07-07",2842318,5600,717284,25.235881417913124
"Europe","Albania","2021-07-06",2842318,5982,711684,25.03885912835932
"Europe","Albania","2021-07-05",2842318,5531,705702,24.828397104053803
"Europe","Albania","2021-07-02",2842318,7013,700171,24.63380241056771
